genre,manga_count,avg_rating,avg_bayesian_rating,total_followers,avg_followers,avg_rank,low_support,success_score
Philosophical,56,9.35315,9.259227617199162,1575126,28127.25,303.0357142857143,False,0.8335721047273732
Isekai,105,9.149628571428572,9.074391875591711,4686683,44635.07619047619,564.5619047619048,False,0.7930131850908989
Horror,58,9.243865517241378,9.14206732104448,1972973,34016.775862068964,462.08620689655174,False,0.7668876459230226
Adventure,207,9.239555555555555,9.133472952884828,7003716,33834.3768115942,488.9130434782609,False,0.7442082724533645
Action,307,9.240418566775245,9.128585685214304,10159507,33092.85667752443,491.071661237785,False,0.7348969220147914
Comedy,568,9.227726408450705,9.12142711035442,17677441,31122.25528169014,484.4031690140845,False,0.7198588766832918
Fantasy,313,9.203829073482428,9.10439296394955,10449872,33386.172523961664,515.7252396166134,False,0.718085952171591
Romance,497,9.191443259557344,9.102117555612335,15760502,31711.271629778672,521.2917505030181,False,0.6968570539721135
Slice of Life,484,9.239096900826446,9.130954438219156,13375819,27635.989669421488,472.0103305785124,False,0.6945486486436753
Tragedy,147,9.276572108843537,9.162049738583889,3673930,24992.721088435374,442.40816326530614,False,0.6917132766336036
Sci-Fi,77,9.242102597402598,9.12758604210835,2125497,27603.85714285714,480.4415584415584,False,0.6876496584440385
Drama,555,9.239990810810811,9.128643113031853,14876082,26803.75135135135,482.5441441441441,False,0.6780152084535178
Psychological,143,9.264968531468531,9.145065540385358,3587090,25084.545454545456,464.6643356643357,False,0.6749767981902031
Sports,45,9.343897777777777,9.20667791668362,717069,15934.866666666667,353.1777777777778,False,0.6703193409701191
Thriller,54,9.23274074074074,9.116848189999935,1405978,26036.62962962963,483.6296296296296,False,0.6690053078270541
Mystery,138,9.265214492753623,9.136794458107893,3144604,22786.985507246376,471.32608695652175,False,0.6464061892810044
Historical,67,9.291774626865672,9.153754908224567,1352126,20180.985074626864,469.56716417910445,False,0.6221193546116127
Crime,46,9.26302391304348,9.141758014929628,891895,19389.021739130436,481.2826086956522,False,0.6047221987539743
Girls' Love,115,9.165169565217392,9.085883865093503,2598285,22593.782608695652,546.2434782608696,False,0.585241479665897
Boys' Love,50,9.225638,9.087373500617948,502613,10052.26,537.02,False,0.4659107814614289
Superhero,16,9.24551875,9.139293132284779,523037,32689.8125,441.25,True,
Medical,12,9.265233333333333,9.152757370411694,409035,34086.25,471.0,True,
Wuxia,11,9.19141818181818,9.031663282884715,149032,13548.363636363636,646.2727272727273,True,
Magical Girls,5,9.19848,9.118695657676268,186385,37277.0,454.6,True,
Mecha,4,9.214475,9.026192912759361,45175,11293.75,637.25,True,
