genre,manga_count,avg_rating,avg_bayesian_rating,total_followers,avg_followers,avg_rank,success_score
Isekai,105,9.149628571428572,9.074391875591711,4686683,44635.07619047619,564.5619047619048,0.8406250797404506
Philosophical,56,9.35315,9.259227617199162,1575126,28127.25,303.0357142857143,0.8335721047273732
Magical Girls,5,9.19848,9.118695657676268,186385,37277.0,454.6,0.8321908849092323
Horror,58,9.243865517241378,9.14206732104448,1972973,34016.775862068964,462.08620689655174,0.7958434276914109
Superhero,16,9.24551875,9.139293132284779,523037,32689.8125,441.25,0.794501442934987
Medical,12,9.265233333333333,9.152757370411694,409035,34086.25,471.0,0.791753976353181
Adventure,207,9.239555555555555,9.133472952884828,7003716,33834.3768115942,488.9130434782609,0.7780479877000152
Action,307,9.240418566775245,9.128585685214304,10159507,33092.85667752443,491.071661237785,0.7691296223049972
Fantasy,313,9.203829073482428,9.10439296394955,10449872,33386.172523961664,515.7252396166134,0.7568069355449173
Comedy,568,9.227726408450705,9.12142711035442,17677441,31122.25528169014,484.4031690140845,0.7528775511482138
Romance,497,9.191443259557344,9.102117555612335,15760502,31711.271629778672,521.2917505030181,0.7365914430368794
Slice of Life,484,9.239096900826446,9.130954438219156,13375819,27635.989669421488,472.0103305785124,0.7253111570361707
Sci-Fi,77,9.242102597402598,9.12758604210835,2125497,27603.85714285714,480.4415584415584,0.7199471057734363
Tragedy,147,9.276572108843537,9.162049738583889,3673930,24992.721088435374,442.40816326530614,0.7170865914277503
Drama,555,9.239990810810811,9.128643113031853,14876082,26803.75135135135,482.5441441441441,0.710695439965184
Psychological,143,9.264968531468531,9.145065540385358,3587090,25084.545454545456,464.6643356643357,0.7044019386681768
Thriller,54,9.23274074074074,9.116848189999935,1405978,26036.62962962963,483.6296296296296,0.7018831563364079
Sports,45,9.343897777777777,9.20667791668362,717069,15934.866666666667,353.1777777777778,0.6794479052647633
Mystery,138,9.265214492753623,9.136794458107893,3144604,22786.985507246376,471.32608695652175,0.6770441283705724
Historical,67,9.291774626865672,9.153754908224567,1352126,20180.985074626864,469.56716417910445,0.6524370747364087
Crime,46,9.26302391304348,9.141758014929628,891895,19389.021739130436,481.2826086956522,0.6371727626642392
Girls' Love,115,9.165169565217392,9.085883865093503,2598285,22593.782608695652,546.2434782608696,0.6295184311071805
Boys' Love,50,9.225638,9.087373500617948,502613,10052.26,537.02,0.5085085615950152
Wuxia,11,9.19141818181818,9.031663282884715,149032,13548.363636363636,646.2727272727273,0.477989351176756
Mecha,4,9.214475,9.026192912759361,45175,11293.75,637.25,0.4603095358353649
