id,title,title_en,title_localized,tags,publication_demographic,authors,artists,status,year,content_rating,original_language,description_en,related,created_at,updated_at,rank,follows,rating_average,rating_bayesian,follows_group,is_award_winning,is_new,related_count
1044287a-73df-48d0-b0b2-5327f32dd651,JoJo no Kimyou na Bouken: Part 7 - Steel Ball Run Color-ban,JoJo's Bizarre Adventure: Part 7–Steel Ball Run - Digital Colored Comics,"{""ja-ro"": ""JoJo no Kimyou na Bouken: Part 7 - Steel Ball Run Color-ban""}",Award Winning; Official Colored; Historical; Action; Psychological; Comedy; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Horror; Fantasy; Supernatural; Mystery; Tragedy,seinen,Araki Hirohiko,Araki Hirohiko,completed,2012.0,suggestive,ja,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.  The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.","[{""id"": ""72d1ae71-4391-4bb2-9f39-784af3cc3c71"", ""relation"": ""prequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 6 - Stone Ocean Color-ban""}, {""id"": ""7a9d76c3-42b9-4bcf-81d7-ad307d2ea971"", ""relation"": ""sequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 8 - JoJolion Color-ban""}]",2018-05-26T16:00:00+00:00,2026-05-11T18:01:41+00:00,1,85565,9.6937,9.685351054135962,High,True,False,2
801513ba-a712-498c-8f57-cae55b38cc92,Berserk,Berserk,"{""ja-ro"": ""Berserk""}",Award Winning; Monsters; Action; Demons; Psychological; Survival; Adventure; Sexual Violence; Magic; Military; Philosophical; Gore; Drama; Horror; Fantasy; Tragedy,seinen,Miura Kentarou; Mori Kouji,Miura Kentarou; Studio Gaga,ongoing,1989.0,erotica,ja,"Guts, known as the Black Swordsman, seeks sanctuary from the demonic forces attracted to him and his woman because of a demonic mark on their necks, and also vengeance against the man who branded him as an unholy sacrifice. Aided only by his titanic strength gained from a harsh childhood lived with mercenaries, a gigantic sword, and an iron prosthetic left hand, Guts must struggle against his bleak destiny, all the while fighting with a rage that might strip him of his humanity.
___
Won the 6th Osamu Tezuka Cultural Prize Excellence Award in 2002.

Note: Following Miura Kentarou's death in 2021, the series has been taken over by Kouji Mori, who supervises the series with art done by Studio Gaga.","[{""id"": ""5a143603-d575-4062-9528-12c2ddb83af3"", ""relation"": ""side_story"", ""title"": ""Berserk Gaiden""}, {""id"": ""77994aef-fe9a-418b-97a8-12b306a8dbdc"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Heartache (Doujinshi)""}, {""id"": ""fab932f0-385e-46c2-b67a-f7e68ad85208"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Patapata Rosine!! (Doujinshi)""}]",2018-01-30T13:50:05+00:00,2026-07-16T02:22:27+00:00,2,210657,9.6902,9.684034248811548,Very High,True,False,3
a9dd451c-3c45-4d66-a818-4e1b78855838,Uma Musume - Cinderella Gray,Uma Musume: Cinderella Gray,"{""ja-ro"": ""Uma Musume - Cinderella Gray""}",Sports; Drama; Slice of Life; Adaptation,seinen,Sugiura Masafumi; Itou Junnousuke,Kuzumi Taiyou,completed,2020.0,safe,ja,Uma Musume: Cinderella Gray is a spin-off title of the Uma Musume project by Cygames. It follows Oguri Cap through her time at Kasamatsu Training Center Academy and on her journey of becoming a legendary horse girl.,"[{""id"": ""19e83dd3-083b-47a2-a308-8eb56c53df1f"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume: Pretty Derby—Anthology Comic STAR""}, {""id"": ""3e860011-8609-48a0-ace4-2d95451d50e0"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Far-off thunder~""}, {""id"": ""502bdb47-9669-4d37-b701-6dd4a4f00c8d"", ""relation"": ""side_story"", ""title"": ""Uma Musume Cinderella Gray Gaiden: Bangai""}, {""id"": ""50d011bb-09a6-46c7-8078-7ba96558a864"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume (Franchise)""}, {""id"": ""778b8438-af3a-4534-841c-adf923b55ee1"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume - Pretty Derby: Star Blossom""}, {""id"": ""c83006f3-e650-46fd-b6de-a88df6b59fab"", ""relation"": ""same_franchise"", ""title"": ""Umamusume - Pretty Derby PisuPisu☆SupiSupi - Golshi-chan""}, {""id"": ""d142610d-bc2d-4746-8a79-539b13b4b497"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Lingering ashes~""}, {""id"": ""e4344acc-3425-42ea-8830-6e59db32781b"", ""relation"": ""same_franchise"", ""title"": ""Starting Gate! Uma Musume Pretty Derby""}, {""id"": ""fd149943-ab40-46bc-863e-f9ed9c137189"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~The mermaid left behind~""}]",2020-09-18T06:09:16+00:00,2026-04-22T12:15:22+00:00,3,18985,9.743,9.680320154817734,High,False,False,9
d1a9fdeb-f713-407f-960c-8326b586e6fd,Vagabond,Vagabond,"{""en"": ""Vagabond""}",Award Winning; Historical; Action; Psychological; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Tragedy,seinen,Inoue Takehiko; Yoshikawa Eiji,Inoue Takehiko,hiatus,1999.0,safe,ja,"Growing up in the late 16th century Sengoku era Japan, Shinmen Takezou is shunned by the local villagers as a devil child due to his wild and violent nature. Running away from home with a fellow boy at age 17, Takezo joins the Toyotomi army to fight the Tokugawa clan at the Battle of Sekigahara. However, the Tokugawa win a crushing victory, leading to nearly three hundred years of Shogunate rule. Takezo and his friend manage to survive the battle and afterwards swear to do great things with their lives. However, after their paths separate, Takezo becomes a wanted criminal and must change his name and his nature in order to escape an ignoble death.  
  
**Awards:**
- Won the 24th Kodansha Manga Award in the general category in 2000.
- Won the Tezuka Osamu Cultural Prize in 2002 
**Note:** was nominated for the 2003 Eisner Award in the Best Writer/Artist category.","[{""id"": ""577469f9-fc50-4e3b-ba38-bccf4138c637"", ""relation"": ""sequel"", ""title"": ""Exhibition Catalog INOUENO: Mikazuki Edition""}, {""id"": ""88b6fcca-57dd-4df2-aac5-8935eaa6c34d"", ""relation"": ""alternate_story"", ""title"": ""Musashi""}, {""id"": ""9560d60b-bc1f-4a4f-9420-c8eae79f8104"", ""relation"": ""side_story"", ""title"": ""The Book of Five Rings (Variety Art Works)""}, {""id"": ""9843917a-1546-4672-b5ad-3ecc5f7020af"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi (ISHInoMORI Shotaro)""}, {""id"": ""a2a9216f-6a8d-4b28-bb9f-8ee549245787"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi""}, {""id"": ""a9bf14be-fcff-4eea-9c45-ba3e40d399fa"", ""relation"": ""alternate_story"", ""title"": ""Musashi (KAWASAKI Noboru)""}, {""id"": ""fe18fe91-fa82-441c-9d87-66414d59a622"", ""relation"": ""same_franchise"", ""title"": ""Exhibition Catalog INOUENO: Mangetsu Edition""}]",2018-02-09T05:29:14+00:00,2025-11-15T21:31:03+00:00,4,82753,9.683,9.659755886914512,High,True,False,7
0d4b349e-b7a2-4d63-9ce0-f864e790c4a2,Veil,Veil,"{""ja-ro"": ""Veil""}",Historical; Romance; Philosophical; Police; Slice of Life; Full Color,josei,Fukuda Ikumi,Fukuda Ikumi,ongoing,2019.0,safe,ja,"""He"", a police officer on his shift, happened to meet ""her"" on the streets, by chance.

Through its bold yet delicate brushwork and elegant prose, this stylish, full-colour comic
illustrates the subtle air of intimacy between these two individuals.

---
A chance encounter. A handsome policeman. A beautiful woman. A tentative love affair smolders on the snowy cobblestone streets, 
out of sight from those that might keep them apart. 

*Veil* is a beautifully illustrated full-color romance manga, told in stylish short vignettes, beautiful illustrations, and secret moments.",[],2020-05-16T11:33:16+00:00,2026-07-27T04:08:32+00:00,5,31599,9.7014,9.65457298107169,High,False,False,0
8b8102da-c875-4dae-a79c-c62e817ff3f5,Eomma re Mannareo Ganeun Gil,On the Way to Meet Mom,"{""ko-ro"": ""Eomma re Mannareo Ganeun Gil""}",Action; Long Strip; Comedy; Adventure; Fantasy; Web Comic; Slice of Life; Full Color,,Gomyang,Gomyang,ongoing,2024.0,safe,ko,"One day, after being discovered in an abandoned house by a rescue team, Mori suddenly finds himself in a children's protection center. Here, he begins to learn a new way of life – one that includes grand care packages sent by a mysterious patron. But when his closest friend is reunited with her mother and leaves the center, Mori learns for the first time the existence of a mother for every child, and decides to embark on a journey to find his own. But what sort of obstacles wait along the way?",[],2024-11-28T00:56:58+00:00,2026-07-09T14:15:06+00:00,6,22967,9.6793,9.632570919295828,High,False,True,0
d7f56ace-cd30-48b9-8b64-afeca0077fca,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,"{""ko-ro"": ""Yeokdaegeum Yeongji Seolgyesa""}",Reincarnation; Monsters; Action; Long Strip; Comedy; Adventure; Magic; Isekai; Fantasy; Web Comic; Adaptation; Full Color,,Lee Hyunmin (이현민); BK_Moon (문백경),Kim Hyeon-Soo (김현수),completed,2021.0,safe,ko,"When civil engineering student Suho Kim falls asleep reading a fantasy novel, he wakes up as a character in the book.

 Suho is now in the body of Lloyd Frontera, a lazy noble who loves to drink, and whose family is in a mountain of debt. Using his engineering knowledge, Suho designs inventions to avert the terrible future that lies in wait for him. 

With the help of a giant hamster, a knight, and the world’s magic, can Suho dig his new family out of debt and build a better future?","[{""id"": ""15ab4953-66b2-4030-bfd1-498389484191"", ""relation"": ""shared_universe"", ""title"": ""Pungjag-ieyo, Ma-wang-nim!""}, {""id"": ""4d0d1e50-f744-455a-a001-c4015a415f87"", ""relation"": ""shared_universe"", ""title"": ""Yongwang-nim ui Chef ga Doeeotseumnida""}, {""id"": ""fb971113-f68e-4987-bc7e-77a9fa292171"", ""relation"": ""shared_universe"", ""title"": ""Yak Paneun Hwangtaeja""}]",2021-12-30T11:26:53+00:00,2026-04-03T17:36:58+00:00,7,33887,9.6509,9.613620792798867,High,False,False,3
418791c0-35cf-4f87-936b-acd9cddf0989,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,"{""ja-ro"": ""Kaoru Hana wa Rin to Saku""}",Romance; Comedy; School Life; Slice of Life,shounen,Mikami Saka,Mikami Saka,ongoing,2021.0,safe,ja,"In a certain place, there are two neighboring high schools. Chidori High School, a bottom-feeder boys' school where idiots gather, and Kikyo Girls' School, a well-established girls' school. Rintaro Tsumugi, a strong and quiet second year student at Chidori High School, meets Kaoruko Waguri, a girl who comes as a customer while helping out at his family's cake shop. Rintaro feels comfortable spending time with Kaoruko, but she is a student at Kikyo Girls, a neighboring school that thoroughly dislikes Chidori High.
___
**Links:**
- [Official Twitter (JP)](https://twitter.com/kaoruhana_mp)
- Official English - [K MANGA](https://kmanga.kodansha.com/title/10023/episode/320130) (U.S. Only | Simulpub)",[],2021-11-10T17:30:57+00:00,2026-05-28T13:59:37+00:00,8,141607,9.6203,9.610950411625902,Very High,False,False,0
984df7d5-ae4c-43c6-aa65-737b9f37e5ef,Nae Choeae neun Makcha reul Tanda,My Bias Gets on the Last Train,"{""ko-ro"": ""Nae Choeae neun Makcha reul Tanda""}",Long Strip; Romance; Drama; Music; Full Color,,JIXKSEE,JIXKSEE,ongoing,2024.0,safe,ko,"“Meeting her on the last train again today, if only I could talk to her!”
College student Lee Yeowoon works late and takes the last train every night.
Each time, he runs into Shin Haein, a woman carrying a guitar. As if by chance, as if by fate, the two keep meeting and discover that their favorite artist is the indie musician “Long Afternoon.” They gradually grow closer and so the story began.

---
Every night, Yeo-un takes the last train home—same route, same time, same routine. But one thing keeps catching his eye: a girl with a guitar and a presence that lingers in his mind. When a shared love for the indie band Long Afternoon sparks a conversation, their late-night encounters begin to turn into something more. But Hae-in isn’t just another fan—she’s the voice behind the band, a secret she can’t afford to reveal. As music draws them closer, the truth may threaten to pull them apart. When the final note plays, will their story end in harmony… or heartbreak?",[],2024-12-15T10:14:39+00:00,2026-02-03T01:01:46+00:00,9,22641,9.6549,9.604226676932878,High,False,True,0
6ecc62e4-25ad-4102-b0d8-580a8023d2fb,Kimi to Tsuzuru Utakata,The Summer You Were There,"{""ja-ro"": ""Kimi to Tsuzuru Utakata""}",Award Winning; Psychological; Romance; Girls' Love; Drama; Medical; School Life; Slice of Life; Tragedy,,Yuama,Yuama,completed,2020.0,safe,ja,"Shizuku Hoshikawa, a high school girl who lives avoiding contact with people, writes a novel which is accidentally read by her classmate Kaori Asaka.  
She loves it but finds out Hoshikawa wasn't planning to write anymore due to lack of ideas, to which she ends up saying:  
""Let's start going out, you and me… You can write a story about our own love.""","[{""id"": ""645ed5e1-9a81-4771-9088-8e8265c4bd42"", ""relation"": ""side_story"", ""title"": ""Kimi ni Okuru Eien""}]",2020-07-22T18:47:29+00:00,2026-06-28T16:44:06+00:00,10,54753,9.6173,9.603044779871055,High,True,False,1
