rank,id,title,title_en,authors,artists,tags,publication_demographic,status,year,content_rating,original_language,follows,rating_average,rating_bayesian,comments_replies_count,related_count,related
1,1044287a-73df-48d0-b0b2-5327f32dd651,JoJo no Kimyou na Bouken: Part 7 - Steel Ball Run Color-ban,JoJo's Bizarre Adventure: Part 7–Steel Ball Run - Digital Colored Comics,Araki Hirohiko,Araki Hirohiko,Award Winning; Official Colored; Historical; Action; Psychological; Comedy; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Horror; Fantasy; Supernatural; Mystery; Tragedy,seinen,completed,2012.0,suggestive,ja,85565,9.6937,9.685351054135962,176,2,"[{""id"": ""72d1ae71-4391-4bb2-9f39-784af3cc3c71"", ""relation"": ""prequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 6 - Stone Ocean Color-ban""}, {""id"": ""7a9d76c3-42b9-4bcf-81d7-ad307d2ea971"", ""relation"": ""sequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 8 - JoJolion Color-ban""}]"
2,801513ba-a712-498c-8f57-cae55b38cc92,Berserk,Berserk,Miura Kentarou; Mori Kouji,Miura Kentarou; Studio Gaga,Award Winning; Monsters; Action; Demons; Psychological; Survival; Adventure; Sexual Violence; Magic; Military; Philosophical; Gore; Drama; Horror; Fantasy; Tragedy,seinen,ongoing,1989.0,erotica,ja,210657,9.6902,9.684034248811548,491,3,"[{""id"": ""5a143603-d575-4062-9528-12c2ddb83af3"", ""relation"": ""side_story"", ""title"": ""Berserk Gaiden""}, {""id"": ""77994aef-fe9a-418b-97a8-12b306a8dbdc"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Heartache (Doujinshi)""}, {""id"": ""fab932f0-385e-46c2-b67a-f7e68ad85208"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Patapata Rosine!! (Doujinshi)""}]"
3,a9dd451c-3c45-4d66-a818-4e1b78855838,Uma Musume - Cinderella Gray,Uma Musume: Cinderella Gray,Sugiura Masafumi; Itou Junnousuke,Kuzumi Taiyou,Sports; Drama; Slice of Life; Adaptation,seinen,completed,2020.0,safe,ja,18985,9.743,9.680320154817734,38,9,"[{""id"": ""19e83dd3-083b-47a2-a308-8eb56c53df1f"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume: Pretty Derby—Anthology Comic STAR""}, {""id"": ""3e860011-8609-48a0-ace4-2d95451d50e0"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Far-off thunder~""}, {""id"": ""502bdb47-9669-4d37-b701-6dd4a4f00c8d"", ""relation"": ""side_story"", ""title"": ""Uma Musume Cinderella Gray Gaiden: Bangai""}, {""id"": ""50d011bb-09a6-46c7-8078-7ba96558a864"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume (Franchise)""}, {""id"": ""778b8438-af3a-4534-841c-adf923b55ee1"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume - Pretty Derby: Star Blossom""}, {""id"": ""c83006f3-e650-46fd-b6de-a88df6b59fab"", ""relation"": ""same_franchise"", ""title"": ""Umamusume - Pretty Derby PisuPisu☆SupiSupi - Golshi-chan""}, {""id"": ""d142610d-bc2d-4746-8a79-539b13b4b497"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Lingering ashes~""}, {""id"": ""e4344acc-3425-42ea-8830-6e59db32781b"", ""relation"": ""same_franchise"", ""title"": ""Starting Gate! Uma Musume Pretty Derby""}, {""id"": ""fd149943-ab40-46bc-863e-f9ed9c137189"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~The mermaid left behind~""}]"
4,d1a9fdeb-f713-407f-960c-8326b586e6fd,Vagabond,Vagabond,Inoue Takehiko; Yoshikawa Eiji,Inoue Takehiko,Award Winning; Historical; Action; Psychological; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Tragedy,seinen,hiatus,1999.0,safe,ja,82753,9.683,9.659755886914512,104,7,"[{""id"": ""577469f9-fc50-4e3b-ba38-bccf4138c637"", ""relation"": ""sequel"", ""title"": ""Exhibition Catalog INOUENO: Mikazuki Edition""}, {""id"": ""88b6fcca-57dd-4df2-aac5-8935eaa6c34d"", ""relation"": ""alternate_story"", ""title"": ""Musashi""}, {""id"": ""9560d60b-bc1f-4a4f-9420-c8eae79f8104"", ""relation"": ""side_story"", ""title"": ""The Book of Five Rings (Variety Art Works)""}, {""id"": ""9843917a-1546-4672-b5ad-3ecc5f7020af"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi (ISHInoMORI Shotaro)""}, {""id"": ""a2a9216f-6a8d-4b28-bb9f-8ee549245787"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi""}, {""id"": ""a9bf14be-fcff-4eea-9c45-ba3e40d399fa"", ""relation"": ""alternate_story"", ""title"": ""Musashi (KAWASAKI Noboru)""}, {""id"": ""fe18fe91-fa82-441c-9d87-66414d59a622"", ""relation"": ""same_franchise"", ""title"": ""Exhibition Catalog INOUENO: Mangetsu Edition""}]"
5,0d4b349e-b7a2-4d63-9ce0-f864e790c4a2,Veil,Veil,Fukuda Ikumi,Fukuda Ikumi,Historical; Romance; Philosophical; Police; Slice of Life; Full Color,josei,ongoing,2019.0,safe,ja,31599,9.7014,9.65457298107169,37,0,[]
6,8b8102da-c875-4dae-a79c-c62e817ff3f5,Eomma re Mannareo Ganeun Gil,On the Way to Meet Mom,Gomyang,Gomyang,Action; Long Strip; Comedy; Adventure; Fantasy; Web Comic; Slice of Life; Full Color,,ongoing,2024.0,safe,ko,22967,9.6793,9.632570919295828,51,0,[]
7,d7f56ace-cd30-48b9-8b64-afeca0077fca,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,Lee Hyunmin (이현민); BK_Moon (문백경),Kim Hyeon-Soo (김현수),Reincarnation; Monsters; Action; Long Strip; Comedy; Adventure; Magic; Isekai; Fantasy; Web Comic; Adaptation; Full Color,,completed,2021.0,safe,ko,33887,9.6509,9.613620792798867,48,3,"[{""id"": ""15ab4953-66b2-4030-bfd1-498389484191"", ""relation"": ""shared_universe"", ""title"": ""Pungjag-ieyo, Ma-wang-nim!""}, {""id"": ""4d0d1e50-f744-455a-a001-c4015a415f87"", ""relation"": ""shared_universe"", ""title"": ""Yongwang-nim ui Chef ga Doeeotseumnida""}, {""id"": ""fb971113-f68e-4987-bc7e-77a9fa292171"", ""relation"": ""shared_universe"", ""title"": ""Yak Paneun Hwangtaeja""}]"
8,418791c0-35cf-4f87-936b-acd9cddf0989,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,Mikami Saka,Mikami Saka,Romance; Comedy; School Life; Slice of Life,shounen,ongoing,2021.0,safe,ja,141607,9.6203,9.610950411625902,149,0,[]
9,984df7d5-ae4c-43c6-aa65-737b9f37e5ef,Nae Choeae neun Makcha reul Tanda,My Bias Gets on the Last Train,JIXKSEE,JIXKSEE,Long Strip; Romance; Drama; Music; Full Color,,ongoing,2024.0,safe,ko,22641,9.6549,9.604226676932878,23,0,[]
10,6ecc62e4-25ad-4102-b0d8-580a8023d2fb,Kimi to Tsuzuru Utakata,The Summer You Were There,Yuama,Yuama,Award Winning; Psychological; Romance; Girls' Love; Drama; Medical; School Life; Slice of Life; Tragedy,,completed,2020.0,safe,ja,54753,9.6173,9.603044779871055,281,1,"[{""id"": ""645ed5e1-9a81-4771-9088-8e8265c4bd42"", ""relation"": ""side_story"", ""title"": ""Kimi ni Okuru Eien""}]"
